reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622882258-11103	69	Carex flacca 'Blue Zinger'	zon   half schaduw             	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met vochtige bodem (OP3)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               bladhoudend  bodembedekker  macho	geel    	 35 cm  	    25 cm  	    25 cm  	  4- 5
1622883221-13016	70	Hosta 'Honeybells'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               Aromatisch   snijbloem  macho	wit    	 70 cm  	    40 cm  	    40 cm  	  7- 8
1622884983-17075	71	Anemone blanda 'Charmer'	zon   half schaduw             	droog fris                	DRIFT	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	roze    	 10 cm  	     5 cm  	     5 cm  	  3- 3
1622879798-6054	72	Trillium erectum	half schaduw  schaduw             	fris                	aantal  : 8 tot 12 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie	rood    	 40 cm  	    30 cm  	    30 cm  	  4- 5
1622883827-14417	73	Phlox p. 'Blue Boy'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)          extra informatie               Aromatisch   snijbloem	violet    	100 cm  	    70 cm  	    70 cm  	  7- 9
1622883823-14403	74	Campanula takesimana	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Licht woekerend         bladhoudend  snijbloem  bijenplant	roze    	 40 cm  	    20 cm  	    20 cm  	  7- 9
1622883456-13650	75	Rumex acetosa var. hortensis (ZURKEL)	zon              	fris vochtig                	aantal  : 5 tot 7 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               Aromatisch   waardplant vlinders	groen    	 30 cm  	    30 cm  	    30 cm  	  0- 0
1622881581-9797	76	Dictamnus albus	zon   half schaduw             	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Steppe (kalk) met droge bodem (SH1)     Steppe (kalk) met frisse bodem (SH2)          extra informatie               snijbloem  bijenplant                                                                                                New	roze    	 80 cm  	    40 cm  	    40 cm  	  6- 7
1622880200-6960	77	Persicaria ampl. ALBA JUNIOR ®	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bodembedekker  snijbloem  macho	wit    	 80 cm  	    40 cm  	    40 cm  	  7- 9
1622879982-6449	78	Salvia nemorosa 'Blauhügel'	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	blauw    	 40 cm  	    25 cm  	    25 cm  	  6- 8
1622883902-14595	79	Asclepias tuberosa	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	oranje    	 50 cm  	    40 cm  	    40 cm  	  7- 9
1622883323-13321	80	Delphinium 'Camelliard' (Pacific-Giant-Group)	zon              	fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	paars    	180 cm  	   100 cm  	   100 cm  	  6- 9
1622880782-8164	81	Salvia sylvestris (x) 'Dear Anja'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar	violet    	 50 cm  	    30 cm  	    30 cm  	  5- 7
1622881718-10105	82	Sanguisorba obtusa	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem	roze    	 80 cm  	    40 cm  	    40 cm  	  6- 7
1622884135-15085	83	Leucanthemum 'Santé' (Superbum-Gr)	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	wit    	 60 cm  	    30 cm  	    30 cm  	  6- 8
1622884116-15041	84	Geranium JS® 'Deux Fleurs'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - grotere kolonies in lage beplanting (D)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               bodembedekker  macho                                                                                            JS	roze    	 40 cm  	    30 cm  	    30 cm  	  6- 9
1622880679-7974	85	Miscanthus sinensis 'Flamingo'	zon              	fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem	roze    	140 cm  	    90 cm  	    90 cm  	  8-10
1622883352-13399	86	Stipa trichotoma 'Palomino'	zon              	droog             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Steppe (kalk) met droge bodem (SH1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  snijbloem	geel    	 30 cm  	    20 cm  	    20 cm  	  8- 9
1622880940-8533	87	Agastache 'Blue Fortune'	zon              	droog             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)          extra informatie       Uitzaaiend         Aromatisch   snijbloem  vlinderplant nectar  bijenplant	blauw    	100 cm  	    60 cm  	    60 cm  	  6- 8
1622880104-6709	88	Coreopsis LI'L BANG ® 'Enchanted Eve'	zon              	fris             afdekken    	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	rood    	 45 cm  	    35 cm  	    35 cm  	  5-10
1622881403-9395	89	Salvia argentea	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Open plaatsen met droge bodem (OP1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  Aromatisch   vlinderplant nectar  bijenplant	wit    	 60 cm  	    10 cm  	    10 cm  	  5- 7
1622879851-6148	90	Sedum (L) cauticola 'Lidakense'	zon              	droog                	aantal  : 9 tot 15 per m2	Droge bodem met grind (GR1)     Muurbeplanting met droge bodem (M1)     Ondiepe, droge bodem (OB1)     Stenige, droge bodem (ST1)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker  vlinderplant nectar  bijenplant	rood    	 15 cm  	    10 cm  	    10 cm  	  7- 9
1622884372-15752	91	Penstemon 'Garnet'	zon              	fris             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem  bijenplant	rood    	 60 cm  	    30 cm  	    30 cm  	  6- 8
1622881268-9136	92	Achillea 'Walther Funcke'	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar	oranje    	 60 cm  	    25 cm  	    25 cm  	  6- 8
1622883719-14155	93	Persicaria ampl. 'Speciosa'	zon   half schaduw             	fris vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bodembedekker  snijbloem  macho	rood    	100 cm  	    80 cm  	    80 cm  	  8-10
1622884432-15881	94	Persicaria ampl. JS® 'Sangre'	zon   half schaduw             	fris vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bodembedekker  snijbloem  macho                                                                                            JS	rood    	100 cm  	    80 cm  	    80 cm  	  8-10
1622882387-11277	95	Paeonia delavayi	zon              	droog fris                	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               Aromatisch   snijbloem  bijenplant	rood    	150 cm  	   150 cm  	   150 cm  	  5- 5
1622883219-13011	96	Meum athamanticum	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bijenplant                                                                                                New	wit    	 30 cm  	    25 cm  	    25 cm  	  5- 6
1622883420-13560	97	Euphorbia myrsinites	zon              	droog fris                	aantal  : 7 tot 10 per m2	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)     Steenvoegen met droge bodem (SV1)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend	geel    	 15 cm  	    15 cm  	    15 cm  	  5- 6
1622883927-14664	98	Origanum 'Rosenkuppel'	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Uitzaaiend         Aromatisch   vlinderplant nectar  bijenplant	roze    	 30 cm  	    20 cm  	    20 cm  	  8- 9
1622882500-11540	99	Ajuga reptans JS® 'Black Fox'	zon   half schaduw             	fris vochtig                	aantal  : 9 tot 15 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bladhoudend  bodembedekker  vlinderplant nectar  bijenplant                                                                                                JS	blauw    	 15 cm  	     5 cm  	     5 cm  	  4- 6
1622879721-5892	100	Miscanthus sinensis 'Malepartus'	zon              	fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem	bruin    	170 cm  	   125 cm  	   125 cm  	  9-11
1622879805-6062	101	Helictotrichon sempervirens	zon              	droog                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Open plaatsen met droge bodem (OP1)     Steppe (kalk) met droge bodem (SH1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  snijbloem	grijs    	 80 cm  	    40 cm  	    40 cm  	  6- 7
1622881745-10160	102	Sedum (L) acre 'Aureum'	zon              	droog                	aantal  : 8 tot 12 per m2	Droge bodem met grind (GR1)     Heide (zuur) met droge bodem (H1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  bodembedekker  vlinderplant nectar  bijenplant	geel    	 10 cm  	     5 cm  	     5 cm  	  6- 7
1622882135-10872	103	Deschampsia flexuosa	half schaduw  schaduw             	droog fris                	aantal  : 7 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               bladhoudend  snijbloem  waardplant vlinders	bruin    	 50 cm  	    15 cm  	    15 cm  	  6- 8
1622880314-7200	104	Nepeta nervosa	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	blauw    	 40 cm  	    30 cm  	    30 cm  	  7- 9
